,volume,vwap,open,close,high,low,datetime,trades
0,163507.0,677.3236,677.74,676.25,679.72,675.6,2026-03-03 04:00:00-05:00,797
1,30541.0,676.2525,676.2,676.2,676.51,676.09,2026-03-03 04:01:00-05:00,358
2,38384.0,676.2704,676.2,676.2,676.5,676.15,2026-03-03 04:02:00-05:00,401
3,15279.0,676.2185,676.2,676.45,676.45,676.19,2026-03-03 04:03:00-05:00,121
4,35722.0,676.4541,676.45,676.31,676.6,676.31,2026-03-03 04:04:00-05:00,220
5,19643.0,676.5693,676.3,676.72,676.72,676.2,2026-03-03 04:05:00-05:00,154
6,10345.0,676.6459,676.71,676.63,676.76,676.5,2026-03-03 04:06:00-05:00,129
7,13893.0,676.2155,676.56,676.33,676.61,676.1,2026-03-03 04:07:00-05:00,159
8,3985.0,676.7097,676.46,676.79,676.79,676.46,2026-03-03 04:08:00-05:00,51
9,15199.0,676.84,676.76,677.09,677.18,676.76,2026-03-03 04:09:00-05:00,228
10,6290.0,676.8182,677.0,676.68,677.06,676.6,2026-03-03 04:10:00-05:00,80
11,3279.0,676.8167,676.71,677.01,677.01,676.7,2026-03-03 04:11:00-05:00,76
12,1659.0,676.6769,676.92,676.5,676.92,676.45,2026-03-03 04:12:00-05:00,55
13,1971.0,676.488,676.45,676.44,676.52,676.4,2026-03-03 04:13:00-05:00,41
14,4690.0,676.737,676.61,676.69,676.83,676.61,2026-03-03 04:14:00-05:00,77
15,2722.0,676.503,676.65,676.63,676.65,676.31,2026-03-03 04:15:00-05:00,58
16,816.0,676.3384,676.4,676.37,676.4,676.3,2026-03-03 04:16:00-05:00,19
17,2233.0,676.4921,676.43,676.5,676.55,676.43,2026-03-03 04:17:00-05:00,57
18,4104.0,676.404,676.48,676.15,676.48,676.15,2026-03-03 04:18:00-05:00,66
19,1797.0,676.2096,676.17,676.36,676.36,676.1,2026-03-03 04:19:00-05:00,52
20,1078.0,676.3982,676.29,676.37,676.53,676.29,2026-03-03 04:20:00-05:00,35
21,7533.0,676.3603,676.36,676.21,676.39,676.21,2026-03-03 04:21:00-05:00,77
22,664.0,676.2319,676.18,676.27,676.3,676.11,2026-03-03 04:22:00-05:00,22
23,1376.0,676.2284,676.21,676.31,676.31,676.2,2026-03-03 04:23:00-05:00,41
24,4800.0,676.411,676.22,676.7,676.7,676.22,2026-03-03 04:24:00-05:00,52
25,9859.0,676.7905,676.73,676.28,676.89,676.28,2026-03-03 04:25:00-05:00,126
26,5224.0,676.164,676.33,675.95,676.4,675.95,2026-03-03 04:26:00-05:00,94
