,volume,vwap,open,close,high,low,datetime,trades
0,8485.0,676.9578,677.66,677.0,677.66,676.54,2026-03-02 04:00:00-05:00,281
1,24153.0,676.9773,676.91,677.45,677.45,676.74,2026-03-02 04:01:00-05:00,267
2,11541.0,677.2444,677.38,677.24,677.38,677.11,2026-03-02 04:02:00-05:00,167
3,2266.0,677.3043,677.11,677.47,677.47,677.11,2026-03-02 04:03:00-05:00,67
4,20948.0,677.5063,677.53,677.21,677.63,677.16,2026-03-02 04:04:00-05:00,200
5,11016.0,677.3892,677.19,677.43,677.48,677.19,2026-03-02 04:05:00-05:00,75
6,16413.0,677.7263,677.58,677.71,677.85,677.55,2026-03-02 04:06:00-05:00,126
7,31444.0,677.8705,677.72,678.0,678.0,677.71,2026-03-02 04:07:00-05:00,304
8,7525.0,677.9872,677.96,678.04,678.12,677.9,2026-03-02 04:08:00-05:00,102
9,3606.0,678.081,678.06,678.22,678.22,678.0,2026-03-02 04:09:00-05:00,77
10,1745.0,678.2691,678.25,678.31,678.34,678.23,2026-03-02 04:10:00-05:00,32
11,19281.0,678.3983,678.29,678.52,678.52,678.26,2026-03-02 04:11:00-05:00,274
12,7614.0,678.4941,678.53,678.57,678.64,678.37,2026-03-02 04:12:00-05:00,106
13,8431.0,678.7125,678.62,678.76,678.77,678.62,2026-03-02 04:13:00-05:00,131
14,21066.0,678.6101,678.63,678.53,678.7,678.46,2026-03-02 04:14:00-05:00,282
15,1578.0,678.7128,678.63,678.68,678.73,678.63,2026-03-02 04:15:00-05:00,32
16,4477.0,678.6285,678.66,678.57,678.67,678.57,2026-03-02 04:16:00-05:00,53
17,6308.0,678.9294,678.62,678.9,679.14,678.62,2026-03-02 04:17:00-05:00,113
18,1911.0,678.9049,678.9,678.84,678.99,678.84,2026-03-02 04:18:00-05:00,36
19,3118.0,678.8438,678.84,678.85,678.94,678.79,2026-03-02 04:19:00-05:00,56
20,950.0,678.7488,678.78,678.74,678.81,678.64,2026-03-02 04:20:00-05:00,27
21,3189.0,678.9174,678.9,679.07,679.07,678.8,2026-03-02 04:21:00-05:00,56
22,3313.0,679.1511,679.1,679.23,679.32,679.02,2026-03-02 04:22:00-05:00,59
23,2305.0,679.1272,679.27,678.94,679.3,678.94,2026-03-02 04:23:00-05:00,58
24,1634.0,678.931,678.94,678.88,678.97,678.88,2026-03-02 04:24:00-05:00,33
25,2187.0,678.9279,678.97,678.77,679.0,678.77,2026-03-02 04:25:00-05:00,43
26,1405.0,678.8893,678.77,678.99,678.99,678.77,2026-03-02 04:26:00-05:00,34
27,3503.0,678.9959,679.0,678.97,679.04,678.91,2026-03-02 04:27:00-05:00,43
28,1151.0,679.1655,678.95,679.21,679.21,678.95,2026-03-02 04:28:00-05:00,18
29,1281.0,678.9445,679.08,678.8,679.09,678.8,2026-03-02 04:29:00-05:00,28
30,879.0,678.9309,678.98,678.98,678.98,678.88,2026-03-02 04:30:00-05:00,17
31,1123.0,679.1289,679.11,679.28,679.28,679.08,2026-03-02 04:31:00-05:00,24
32,1982.0,679.3304,679.33,679.33,679.36,679.33,2026-03-02 04:32:00-05:00,25
33,1132.0,679.2763,679.17,679.3,679.3,679.17,2026-03-02 04:33:00-05:00,23
34,1536.0,679.3432,679.34,679.3,679.38,679.3,2026-03-02 04:34:00-05:00,32
35,1342.0,678.9301,679.02,678.75,679.02,678.75,2026-03-02 04:35:00-05:00,30
36,387.0,678.8142,678.77,678.83,678.83,678.77,2026-03-02 04:36:00-05:00,20
37,5542.0,679.1024,679.07,679.05,679.17,679.05,2026-03-02 04:37:00-05:00,82
38,420.0,678.9693,679.08,678.93,679.08,678.93,2026-03-02 04:38:00-05:00,13
39,1632.0,678.8906,678.9,678.73,678.92,678.73,2026-03-02 04:39:00-05:00,30
40,5829.0,678.5535,678.7,678.47,678.75,678.46,2026-03-02 04:40:00-05:00,119
41,2253.0,678.4835,678.48,678.5,678.56,678.42,2026-03-02 04:41:00-05:00,41
42,278.0,678.4226,678.45,678.45,678.45,678.45,2026-03-02 04:42:00-05:00,17
43,993.0,678.5685,678.39,678.72,678.72,678.39,2026-03-02 04:43:00-05:00,31
44,4436.0,679.0317,678.74,679.07,679.07,678.74,2026-03-02 04:44:00-05:00,76
